 RELATÓRIO DE FREQUÊNCIA DE NÚMEROS SORTEADOS NA MEGASENA DE 2024:

 NÚMERO | FREQUÊNCIA
 ---------------------
    1    |    38
    2    |    50
    3    |    37
    4    |    57
    5    |    48
    6    |    49
    7    |    49
    8    |    36
    9    |    42
    10   |    50
    11   |    48
    12   |    41
    13   |    50
    14   |    41
    15   |    31
    16   |    40
    17   |    48
    18   |    33
    19   |    51
    20   |    50
    21   |    36
    22   |    43
    23   |    35
    24   |    47
    25   |    52
    26   |    36
    27   |    48
    28   |    60
    29   |    44
    30   |    53
    31   |    45
    32   |    57
    33   |    45
    34   |    43
    35   |    56
    36   |    42
    37   |    45
    38   |    47
    39   |    42
    40   |    33
    41   |    41
    42   |    43
    43   |    49
    44   |    54
    45   |    46
    46   |    53
    47   |    54
    48   |    31
    49   |    56
    50   |    42
    51   |    47
    52   |    38
    53   |    53
    54   |    47
    55   |    40
    56   |    47
    57   |    38
    58   |    34
    59   |    51
    60   |    47
